State,Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate
Tennessee,1988,4919000,532.7,9.4,44.7,173.6,305.1
Texas,1988,16780000,652.6,12.1,48.4,234.2,357.9
Utah,1988,1691000,243.1,2.8,23.6,54.1,162.6
Vermont,1988,556000,142.3,2,23,16,101.3
Virginia,1988,5996000,299.2,7.8,27.1,112.5,151.8
Washington,1988,4619000,466.4,5.7,56.5,145.9,258.3
West Virginia,1988,1884000,131.4,4.9,18.7,34.2,73.6
Wisconsin,1988,4858000,214.4,3,19.9,67.1,124.5
Wyoming,1988,471000,314,2.5,24,15.1,272.4
Alaska,1989,527000,497.7,8,52.9,67.6,369.3
New Mexico,1989,1528000,703.9,8.6,45.9,105.2,544.1
Alabama,1989,4118000,590.8,10.2,31,133.9,415.7
Arizona,1989,3556000,599.6,6.7,36.2,139,417.7
Arkansas,1989,2406000,473.7,8.4,38.4,110.6,316.3
California,1989,29063000,977.7,10.9,41.2,331.8,593.8
Colorado,1989,3317000,471.4,4.4,36.2,90,340.8
Connecticut,1989,3239000,511.8,5.9,27.5,214.8,263.6
Delaware,1989,673000,556.5,5.1,84.5,138.8,328.1
District of Columbia,1989,604000,2141.9,71.9,30.8,1083.1,956.1
Florida,1989,12671000,1109.4,11.1,49.7,404,644.6
Georgia,1989,6436000,735.8,12.7,48.9,271.1,403
Hawaii,1989,1112000,270.1,4.8,44.6,83.2,137.6
Idaho,1989,1014000,254.6,2.6,23.3,15,213.8
Illinois,1989,11658000,845.9,9,35.7,335.7,465.4
Indiana,1989,5593000,406.5,6.3,32.3,101.4,266.5
Iowa,1989,2840000,266.3,1.9,16.2,39,209.2
Kansas,1989,2513000,400.8,5.5,36.5,99.8,259.1
Kentucky,1989,3727000,356.9,7.9,24.6,76.1,248.3
Louisiana,1989,4382000,781.8,14.9,38.2,237.3,491.4
Maine,1989,1222000,137.2,3.2,18.7,24,91.2
Maryland,1989,4694000,855.4,11.6,38,332.1,473.7
Massachusetts,1989,5913000,675,4.3,31.8,202.6,436.3
Michigan,1989,9273000,709.2,10.7,71.4,222.3,404.7
Minnesota,1989,4353000,288.3,2.5,31.3,94.8,159.6
Mississippi,1989,2621000,311.2,9.7,38.8,78.3,184.4
Missouri,1989,5159000,632.6,7.9,30.8,195,398.9
Montana,1989,806000,116,2.9,18,17,78.2
Nebraska,1989,1611000,279.5,2.5,23.6,52,201.4
Nevada,1989,1111000,625.3,8.2,59.6,250.6,306.9
New Hampshire,1989,1107000,168.5,3.3,29.5,23.8,111.8
New Jersey,1989,7736000,609,5.1,31.7,273.3,299
New York,1989,17950000,1131.2,12.5,29.2,579.3,510.1
North Carolina,1989,6571000,546.4,8.9,29.9,133.5,374.1
North Dakota,1989,660000,63.2,0.6,11.8,9.2,41.5
Ohio,1989,10907000,468.6,6,44.7,170.9,247.1
Oklahoma,1989,3224000,491.5,6.5,37.5,126.2,321.3
Oregon,1989,2820000,518.6,4.8,46.6,151.8,315.4
Pennsylvania,1989,12040000,378.6,6.3,24.6,149.7,198
Rhode Island,1989,998000,378,4.9,26.7,112.4,234
South Carolina,1989,3512000,813.7,9.1,46.5,130.2,627.8
South Dakota,1989,715000,135.5,1.3,32,11.7,90.5
Tennessee,1989,4940000,548.9,8.4,46,160.4,334.1
Texas,1989,16991000,658.5,11.9,46.8,223.1,376.6
Utah,1989,1707000,258.8,2.6,28.6,52.6,174.9
Vermont,1989,567000,132.8,1.9,23.1,18,89.8
Virginia,1989,6098000,312.5,7.9,26.9,106.5,171.3
Washington,1989,4761000,471.7,4.4,61.7,140.1,265.5
West Virginia,1989,1857000,146.7,6.5,18.7,42.7,78.8
Wisconsin,1989,4867000,222.6,3.6,20.4,75.2,123.4
Wyoming,1989,475000,258.3,4.4,28.2,17.1,208.6
Alaska,1990,550043,524.5,7.5,72.9,76.7,367.4
New Mexico,1990,1515069,780.2,9.2,49.7,115.1,606.2
Alabama,1990,4040587,708.6,11.6,32.6,143.7,520.7
Arizona,1990,3665228,652.4,7.7,40.9,160.9,442.8
Arkansas,1990,2350725,532.2,10.3,43.3,113.2,365.4
California,1990,29760021,1045.2,11.9,42.6,377,613.6
Colorado,1990,3294394,526,4.2,46.2,90.6,385
Connecticut,1990,3287116,553.7,5.1,27.9,234.8,286
Delaware,1990,666168,655.2,5,88.1,164.8,397.3
District of Columbia,1990,606900,2458.2,77.8,49.9,1213.5,1117
Florida,1990,12937926,1244.3,10.7,52.4,416.8,764.4
Georgia,1990,6478216,756.3,11.8,53.6,263.5,427.4
Hawaii,1990,1108229,280.9,4,32.5,91.4,153
Idaho,1990,1006749,275.7,2.7,27.3,15,230.7
Illinois,1990,11430602,967.4,10.3,39.4,394,523.6
Indiana,1990,5544159,473.9,6.2,37.9,101.3,328.4
Iowa,1990,2776755,299.7,1.9,18.4,39.2,240.1
Kansas,1990,2477574,447.7,4,40.4,117.6,285.7
Kentucky,1990,3685296,390.4,7.2,29,69.1,285.2
Louisiana,1990,4219973,898.4,17.2,42.2,269.8,569.2
Maine,1990,1227928,143.2,2.4,19.7,25.1,96
Maryland,1990,4781468,919,11.5,45.7,363.8,497.9
Massachusetts,1990,6016425,736.3,4,33.7,217.1,481.4
Michigan,1990,9295297,790.4,10.4,77.6,234,468.4
Minnesota,1990,4375099,306.1,2.7,34,92.7,176.7
Mississippi,1990,2573216,340.4,12.2,44.1,86.2,198
Missouri,1990,5117073,715.3,8.8,32.5,216.4,457.6
Montana,1990,799065,159.3,4.9,24.4,21.7,108.4
Nebraska,1990,1578385,330,2.7,30,51.1,246.2
Nevada,1990,1201833,600.9,9.7,62.2,238.3,290.7
New Hampshire,1990,1109252,131.5,1.9,34.8,27.2,67.6
New Jersey,1990,7730188,647.6,5.6,29.8,301,311.1
New York,1990,17990455,1180.9,14.5,29.8,624.7,512
North Carolina,1990,6628637,623.5,10.7,34.3,152.1,426.4
North Dakota,1990,638800,73.9,0.8,17.8,7.8,47.4
Ohio,1990,10847115,506.2,6.1,46.8,188.5,264.7
Oklahoma,1990,3145585,547.5,8,47,121.9,370.5
Oregon,1990,2842321,506.8,3.8,46.9,144.3,311.8
Pennsylvania,1990,11881643,431,6.7,25.8,176.2,222.3
Rhode Island,1990,1003464,431.9,4.8,24.7,122,280.4
South Carolina,1990,3486703,976.6,11.2,53.7,152.4,759.3
South Dakota,1990,696004,162.8,2,34.3,12.4,114.1
Tennessee,1990,4877185,670.4,10.5,49.5,191.2,419.2
Texas,1990,16986510,761.4,14.1,51.5,260.8,435.1
Utah,1990,1722850,283.9,3,37.8,56.9,186.3
Vermont,1990,562758,127.2,2.3,25.9,11.7,87.2
Virginia,1990,6187358,350.6,8.8,31,123.3,187.6
Washington,1990,4866692,501.6,4.9,64,130,302.7
West Virginia,1990,1793477,169.3,5.7,23.6,37.9,102.1
Wisconsin,1990,4891769,264.7,4.6,20.7,112.7,126.7
Wyoming,1990,453588,301.4,4.9,29.5,15.9,251.1
Alaska,1991,570000,613.9,7.4,91.8,113.2,401.6
New Mexico,1991,1548000,834.8,10.5,52.4,120.3,651.6
Alabama,1991,4089000,844.2,11.5,35.6,152.8,644.4
Arizona,1991,3750000,670.7,7.8,42.4,165.7,454.8
Arkansas,1991,2372000,593.3,11.1,44.6,135.6,401.9
California,1991,30380000,1089.9,12.7,42.4,411.3,623.5
Colorado,1991,3377000,559.3,5.9,47,107.4,398.9
Connecticut,1991,3291000,539.7,5.7,29.2,224.4,280.5
Delaware,1991,680000,714.3,5.4,86.5,214.7,407.6
District of Columbia,1991,598000,2453.3,80.6,35.8,1215.6,1121.4
Florida,1991,13277000,1184.3,9.4,51.7,399.8,723.4
Georgia,1991,6623000,738.2,12.8,42.3,268.2,415
Hawaii,1991,1135000,241.8,4,33,86.9,117.9
Idaho,1991,1039000,290.3,1.8,28.9,20.7,238.9
Illinois,1991,11543000,1039.2,11.3,40,456.1,531.8
Indiana,1991,5610000,505.3,7.5,41.3,116,340.5
Iowa,1991,2795000,303.3,2,20.9,45,235.4
Kansas,1991,2495000,499.6,6.1,44.8,138.4,310.3
Kentucky,1991,3713000,438,6.8,35.4,83.1,312.7
Louisiana,1991,4252000,951,16.9,40.9,278.9,614.3
Maine,1991,1235000,132.1,1.2,21.9,22.7,86.3
Maryland,1991,4860000,956.2,11.7,45.9,407.1,491.5
Massachusetts,1991,5996000,736.1,4.2,32.1,194.6,505.2
Michigan,1991,9368000,803.1,10.8,78.7,243.3,470.3
Minnesota,1991,4432000,316,3,39.8,98,175.3
Mississippi,1991,2592000,389.1,12.8,46.3,116.3,213.7
Missouri,1991,5158000,763,10.5,34,251.1,467.4
Montana,1991,808000,139.9,2.6,19.8,18.6,98.9
Nebraska,1991,1593000,334.6,3.3,28.1,54,249.2
Nevada,1991,1284000,677,11.8,66,312.5,286.7
New Hampshire,1991,1105000,119.3,3.6,29.9,33,52.8
New Jersey,1991,7760000,634.8,5.2,29.1,293.1,307.3
New York,1991,18058000,1163.9,14.2,28.2,622.1,499.4
North Carolina,1991,6737000,658.4,11.4,34.6,178,434.4
North Dakota,1991,635000,65.4,1.1,18.3,8,38
Ohio,1991,10939000,561.8,7.2,52.5,215.2,287
Oklahoma,1991,3175000,583.7,7.2,50.9,128.9,396.7
Oregon,1991,2922000,506.3,4.6,53.4,150.1,298.2
Pennsylvania,1991,11961000,450,6.3,28.7,193.9,221.1
Rhode Island,1991,1004000,462,3.7,30.9,122.9,304.5
South Carolina,1991,3560000,972.5,11.3,58.9,171.1,731.2
South Dakota,1991,703000,182.2,1.7,39.7,18.8,122
Tennessee,1991,4953000,725.9,11,46.4,212.9,455.6
Texas,1991,17349000,840.1,15.3,53.4,286.5,484.9
Utah,1991,1770000,286.8,2.9,45.6,55.1,183.1
Vermont,1991,567000,116.8,2.1,30.5,11.8,72.3
Virginia,1991,6286000,373.2,9.3,29.9,137.6,196.4
Washington,1991,5018000,522.6,4.2,70.3,145.5,302.5
West Virginia,1991,1801000,191,6.2,23,43.3,118.5
Wisconsin,1991,4955000,277,4.8,25.4,119,127.7
Wyoming,1991,460000,310.2,3.3,25.9,17.2,263.9
Alaska,1992,587000,660.5,7.5,98.6,109,445.3
New Mexico,1992,1581000,934.9,8.9,62.6,139.3,724.1
Alabama,1992,4136000,871.7,11,41.2,164.9,654.6
Arizona,1992,3832000,670.8,8.1,43,153.1,466.6
Arkansas,1992,2399000,576.5,10.8,41.3,125.5,399
California,1992,30867000,1119.7,12.7,41.3,424.1,641.6
Colorado,1992,3470000,578.8,6.2,47.3,120.5,404.9
Connecticut,1992,3281000,495.3,5.1,26.9,210.9,252.5
Delaware,1992,689000,621.2,4.6,85.8,151.2,379.5
District of Columbia,1992,589000,2832.8,75.2,36.5,1266.4,1454.7
Florida,1992,13488000,1207.2,9,54.2,366.9,777.2
Georgia,1992,6751000,733.2,11,45.3,249.8,427.1
Hawaii,1992,1160000,258.4,3.6,37.9,99.2,117.7
Idaho,1992,1067000,281.4,3.5,31.8,21.5,224.7
Illinois,1992,11631000,977.3,11.4,37.1,412.5,516.4
Indiana,1992,5662000,508.5,8.2,42.4,122.2,335.7
Iowa,1992,2812000,278,1.6,18.8,39.6,218
Kansas,1992,2523000,510.8,6,41.3,129.9,333.7
Kentucky,1992,3755000,535.5,5.8,32.2,87.2,410.4
Louisiana,1992,4287000,984.6,17.4,42.3,271.4,653.4
Maine,1992,1235000,130.9,1.7,23.8,23.3,82
Maryland,1992,4908000,1000.1,12.1,46.4,429,512.6
Massachusetts,1992,5998000,779,3.6,36.1,184.4,555
Michigan,1992,9437000,770.1,9.9,80,221.5,458.6
Minnesota,1992,4480000,338,3.3,41.1,109.5,184.1
Mississippi,1992,2614000,411.7,12.2,44.6,124.5,230.4
Missouri,1992,5193000,740.4,10.5,36.5,226.9,466.5
Montana,1992,824000,169.9,2.9,25.5,26.9,114.6
Nebraska,1992,1606000,348.6,4.2,31.4,56.7,256.2
Nevada,1992,1327000,696.8,10.9,62.8,331.3,291.8
New Hampshire,1992,1111000,125.7,1.6,38.2,33,52.9
New Jersey,1992,7789000,625.8,5.1,30.7,285.2,304.8
New York,1992,18119000,1122.1,13.2,28.4,596.9,483.5
North Carolina,1992,6843000,681,10.6,35.9,186.8,447.7
North Dakota,1992,636000,83.3,1.9,23.3,7.9,50.3
Ohio,1992,11016000,525.9,6.6,52.1,199,268.2
Oklahoma,1992,3212000,622.8,6.5,48.4,136.2,431.6
Oregon,1992,2977000,510.2,4.7,53.1,151.4,301.1
Pennsylvania,1992,12009000,427,6.2,27.7,180.7,212.4
Rhode Island,1992,1005000,394.5,3.6,30.9,94.5,265.5
South Carolina,1992,3603000,944.5,10.4,57.5,170.6,706
South Dakota,1992,711000,194.5,0.6,51.8,16.9,125.3
Tennessee,1992,5024000,746.2,10.4,47.3,218.2,470.3
Texas,1992,17656000,806.3,12.7,53.4,252.5,487.7
Utah,1992,1813000,290.5,3,45.4,55.9,186.2
Vermont,1992,570000,109.5,2.1,24.9,8.9,73.5
Virginia,1992,6377000,374.9,8.8,31.5,137.8,196.8
Washington,1992,5136000,534.5,5,72,139.8,317.8
West Virginia,1992,1812000,211.5,6.3,21.7,43.5,140
Wisconsin,1992,5007000,275.7,4.4,26.3,119.8,125.3
Wyoming,1992,466000,319.5,3.6,35,18,262.9
Alaska,1993,599000,760.8,9,83.8,122.4,545.6
New Mexico,1993,1616000,929.7,8,52.1,138.4,731.1
Alabama,1993,4187000,780.4,11.6,35.1,159.5,574.3
Arizona,1993,3936000,715,8.6,37.8,162.9,505.7
Arkansas,1993,2424000,593.3,10.2,42.4,124.9,415.8
California,1993,31211000,1077.8,13.1,37.7,405.1,621.8
Colorado,1993,3566000,567.3,5.8,45.8,116.7,399
Connecticut,1993,3277000,456.2,6.3,24.4,196.7,228.7
Delaware,1993,700000,685.9,5,77,186.7,417.1
District of Columbia,1993,578000,2921.8,78.5,56.1,1229.6,1557.6
Florida,1993,13679000,1206,8.9,53.8,357.6,785.7
Georgia,1993,6917000,723.1,11.4,35.4,248,428.3
Hawaii,1993,1172000,261.2,3.8,33.6,103.6,120.1
Idaho,1993,1099000,281.8,2.9,35.3,16.9,226.7
Illinois,1993,11697000,959.7,11.4,34.6,381.2,532.6
Indiana,1993,5713000,489.1,7.5,39.1,119.8,322.6
Iowa,1993,2814000,325.5,2.3,24.4,53.9,244.8
Kansas,1993,2531000,496.4,6.4,40.1,123.6,326.3
Kentucky,1993,3789000,462.7,6.6,34.3,90.4,331.4
Louisiana,1993,4295000,1061.7,20.3,42.3,283.6,715.4
Maine,1993,1239000,125.7,1.6,26.6,21.3,76.3
Maryland,1993,4965000,997.8,12.7,44,434.7,506.4
Massachusetts,1993,6012000,804.9,3.9,33.4,175.7,592
Michigan,1993,9478000,791.5,9.8,71.1,238.5,472.1
Minnesota,1993,4517000,353.9,3.4,61.9,112.7,175.8
Mississippi,1993,2643000,433.9,13.5,42.6,139.3,238.4
Missouri,1993,5234000,744.4,11.3,36.2,241.8,455.2
Montana,1993,839000,177.5,3,27.9,32.4,114.2
Nebraska,1993,1607000,377.8,3.9,27.8,62.4,283.6
Nevada,1993,1389000,875.2,10.4,60.9,340.1,463.9
New Hampshire,1993,1125000,137.8,2,44.4,27.3,64.1
New Jersey,1993,7879000,626.9,5.3,28.1,296,297.5
New York,1993,18197000,1073.5,13.3,27.5,561.2,471.5
North Carolina,1993,6945000,679.3,11.3,34.3,192.4,441.3
North Dakota,1993,635000,82.2,1.7,23.5,8.3,48.7
Ohio,1993,11091000,504.1,6,49.1,192.7,256.3
Oklahoma,1993,3231000,634.8,8.4,49.3,121.8,455.3
Oregon,1993,3032000,503.1,4.6,51.3,129.6,317.6
Pennsylvania,1993,12048000,417.5,6.8,26.5,179,205.1
Rhode Island,1993,1000000,401.7,3.9,28.6,101.1,268.1
South Carolina,1993,3643000,1023.4,10.3,52.3,187.3,773.4
South Dakota,1993,715000,208.4,3.4,44.5,15,145.6
Tennessee,1993,5099000,765.8,10.2,49.9,220.1,485.5
Texas,1993,18031000,762.1,11.9,55,224.4,470.8
Utah,1993,1860000,301,3.1,44.6,58.6,194.7
Vermont,1993,576000,114.2,3.6,39.8,9,61.8
Virginia,1993,6491000,372.2,8.3,32.1,142,189.8
Washington,1993,5255000,514.6,5.2,64.4,137.1,307.9
West Virginia,1993,1820000,208.4,6.9,20.1,43,138.5
Wisconsin,1993,5038000,264.4,4.4,25.2,113.4,121.4
Wyoming,1993,470000,286.2,3.4,34.3,17.2,231.3
Alaska,1994,606000,766.3,6.3,69,146.2,544.9
New Mexico,1994,1654000,889.2,10.7,52.4,140.8,685.4
Alabama,1994,4219000,683.7,11.9,35.2,171.2,465.3
Arizona,1994,4075000,703.1,10.5,36,162,494.7
Arkansas,1994,2453000,595.1,12,41.9,128.7,412.5
California,1994,31431000,1013,11.8,34.9,356.8,609.4
Colorado,1994,3656000,509.6,5.4,43.2,106.9,354
Connecticut,1994,3275000,455.5,6.6,24.6,187.8,236.5
Delaware,1994,706000,644.3,4.7,77.3,161.6,400.7
District of Columbia,1994,570000,2662.6,70,43.7,1107.2,1441.8
Florida,1994,13953000,1146.8,8.3,52.3,328.8,757.4
Georgia,1994,7055000,667.7,10,34.7,222.6,400.4
Hawaii,1994,1179000,262.2,4.2,30.4,103.6,123.9
Idaho,1994,1133000,285.8,3.5,27.9,18.4,235.9
Illinois,1994,11752000,960.9,11.7,33.3,372.6,543.3
Indiana,1994,5752000,525.1,7.9,35.6,130.2,351.5
Iowa,1994,2829000,315.1,1.7,23.5,46.9,243
Kansas,1994,2554000,443,6.7,41.3,115.1,279.9
Kentucky,1994,3827000,444,6.4,35.3,93.9,308.4
Louisiana,1994,4315000,981.9,19.8,44.6,267.2,650.3
Maine,1994,1240000,129.9,2.3,25.6,22.4,79.6
Maryland,1994,5006000,948,11.6,40.7,402.5,493.3
Massachusetts,1994,6041000,707.6,3.5,30.2,168.2,505.7
Michigan,1994,9496000,766.1,9.8,70.8,228.9,456.7
Minnesota,1994,4567000,359,3.2,59.7,117.6,178.6
Mississippi,1994,2669000,493.7,15.3,45.4,162.5,270.5
Missouri,1994,5278000,743.5,10.5,37,230.7,465.2
Montana,1994,856000,177.1,3.3,27.2,32.7,113.9
Nebraska,1994,1623000,389.5,3.1,30.8,75.4,280.2
Nevada,1994,1457000,1001.9,11.7,68.7,352.4,569.1
New Hampshire,1994,1137000,116.8,1.4,35.8,27.1,52.5
New Jersey,1994,7904000,614.2,5,24.9,288,296.2
New York,1994,18169000,965.6,11.1,25.9,476.7,451.9
North Carolina,1994,7070000,655,10.9,33,181.2,429.9
North Dakota,1994,638000,81.8,0.2,23.4,11.1,47.2
Ohio,1994,11102000,485.8,6,47.1,187.5,245.1
Oklahoma,1994,3258000,651.5,6.9,49.6,128.1,466.8
Oregon,1994,3086000,520.6,4.9,43.2,138.2,334.4
Pennsylvania,1994,12052000,426.7,5.9,26.1,186.7,208
Rhode Island,1994,997000,375.5,4.1,27.4,87.3,256.8
South Carolina,1994,3664000,1030.5,9.6,54.3,186.1,780.4
South Dakota,1994,721000,227.6,1.4,42,18.7,165.5
Tennessee,1994,5175000,747.9,9.3,49.2,207.4,482
Texas,1994,18378000,706.5,11,49.5,204.8,441.1
Utah,1994,1908000,304.5,2.9,42.2,63.6,195.8
Vermont,1994,580000,96.9,1,27.6,12.2,56
Virginia,1994,6552000,357.7,8.7,28.5,132.8,187.6
Washington,1994,5343000,511.3,5.5,60.5,139.7,305.6
West Virginia,1994,1822000,215.8,5.4,20.3,42.4,147.6
Wisconsin,1994,5082000,270.5,4.5,23.5,112.9,129.7
Wyoming,1994,476000,272.5,3.4,33.6,16.6,218.9
Alaska,1995,604000,770.9,9.1,80.3,155.1,526.3
New Mexico,1995,1685000,819.2,8.8,56.6,154.5,599.3
Alabama,1995,4253000,632.4,11.2,31.7,185.8,403.7
Arizona,1995,4218000,713.5,10.4,33.6,173.8,495.7
Arkansas,1995,2484000,553.2,10.4,37.2,125.7,379.8
California,1995,31589000,966,11.2,33.4,331.2,590.3
Colorado,1995,3747000,440.2,5.8,39.5,96.2,298.7
Connecticut,1995,3275000,405.9,4.6,23.7,163.2,214.4
Delaware,1995,717000,725,3.5,80.2,198.7,442.5
District of Columbia,1995,554000,2661.4,65,52.7,1239,1304.7
Florida,1995,14166000,1071,7.3,48.6,299.9,715.1
Georgia,1995,7201000,657.1,9.5,35.3,205.2,407.1
Hawaii,1995,1187000,295.6,4.7,28.3,130.8,131.8
Idaho,1995,1163000,322,4.1,28.4,24,265.5
Illinois,1995,11830000,996.1,10.3,36.5,330.8,618.5
Indiana,1995,5803000,524.7,8,33.3,135.2,348.3
Iowa,1995,2842000,354.4,1.8,21.8,53,277.8
Kansas,1995,2565000,420.7,6.2,36.6,108.2,269.8
Kentucky,1995,3860000,364.7,7.2,31.9,103.7,222
Louisiana,1995,4342000,1007.4,17,42.7,268.6,679
Maine,1995,1241000,131.4,2,21.4,26.9,81.1
Maryland,1995,5042000,986.9,11.8,42.2,423.1,509.7
Massachusetts,1995,6074000,687.2,3.6,29,150.4,504.2
Michigan,1995,9549000,687.8,8.5,62,187.3,430.1
Minnesota,1995,4610000,356.1,3.9,56.2,123.7,172.2
Mississippi,1995,2697000,502.8,12.9,39.1,130.9,319.9
Missouri,1995,5324000,663.8,8.8,32.1,204,418.8
Montana,1995,870000,171.4,4,26.6,29.1,111.7
Nebraska,1995,1637000,382,2.9,19.4,65.2,294.5
Nevada,1995,1530000,945.2,10.7,61.2,324.6,548.7
New Hampshire,1995,1148000,114.5,1.8,29,27.4,56.3
New Jersey,1995,7945000,599.8,5.1,24.3,283,287.4
New York,1995,18136000,841.9,8.5,23.7,399.7,410
North Carolina,1995,7195000,646.4,9.4,32.2,179.2,425.5
North Dakota,1995,641000,86.7,0.9,22.8,10,53
Ohio,1995,11151000,482.5,5.4,43.4,178.7,255
Oklahoma,1995,3278000,664.1,12.2,44.6,115.6,491.8
Oregon,1995,3141000,522.4,4.1,41.7,137.9,338.7
Pennsylvania,1995,12072000,427.3,6.3,25.2,189.3,206.5
Rhode Island,1995,990000,368,3.3,27,92.3,245.4
South Carolina,1995,3673000,981.9,7.9,47.3,175.9,750.8
South Dakota,1995,729000,207.5,1.8,41,25.9,138.8
Tennessee,1995,5256000,771.5,10.6,47.1,223.2,490.5
Texas,1995,18724000,663.9,9,45.7,179.8,429.3
Utah,1995,1951000,328.8,3.9,42.7,67.1,215.1
Vermont,1995,585000,118.3,2.2,28.2,10.9,76.9
Virginia,1995,6618000,361.5,7.6,27.2,131.7,194.9
Washington,1995,5431000,484.3,5.1,59.2,132.7,287.3
West Virginia,1995,1828000,210.2,4.9,21.2,42.7,141.4
Wisconsin,1995,5123000,281.1,4.3,23.3,105.1,148.4
Wyoming,1995,480000,254.2,2.1,34.4,17.9,199.8
Alaska,1996,607000,727.7,7.4,65.6,117,537.7
New Mexico,1996,1713000,840.6,11.5,63.5,162.4,603.2
Alabama,1996,4273000,565.4,10,33,167,356
Arizona,1996,4428000,631.5,8.5,31.2,167.8,424
Arkansas,1996,2510000,524.3,8.7,41.7,114.1,359.8
California,1996,31878000,862.7,9.1,32.1,295.6,525.8
Colorado,1996,3823000,404.5,4.7,46.2,98.2,255.4
Connecticut,1996,3274000,412,4.8,23.1,169.6,214.6
Delaware,1996,725000,668.3,4.3,62.6,179.9,421.5
District of Columbia,1996,543000,2469.8,73.1,47.9,1186.7,1162.1
Florida,1996,14400000,1051,7.5,52.1,289.2,702.2
Georgia,1996,7353000,638.7,8.6,32.1,205.4,392.8
Hawaii,1996,1184000,280.6,3.4,27.5,135.6,114
Idaho,1996,1189000,267.2,3.6,26.3,20.3,217
Illinois,1996,11847000,890.4,10,38.4,279.4,562.6
Indiana,1996,5841000,537,7.2,34.1,124.1,371.6
Iowa,1996,2852000,272.5,1.9,19.7,45.1,205.9
Kansas,1996,2572000,413.8,6.6,42.6,96.3,268.3
Kentucky,1996,3884000,320.5,5.9,31.7,93.8,189.2
Louisiana,1996,4351000,929.1,17.5,41.5,276.6,593.5
Maine,1996,1243000,124.9,2,20.9,23.5,78.5
Maryland,1996,5072000,931.2,11.6,37.6,393.2,488.8
Massachusetts,1996,6092000,642.2,2.6,29,127.7,482.9
Michigan,1996,9594000,635.3,7.5,57,176.2,394.6
Minnesota,1996,4658000,338.8,3.6,50,115.6,169.7
Mississippi,1996,2716000,488.3,11.1,36.1,134.2,306.8
Missouri,1996,5359000,590.9,8.1,29.2,170.6,383.1
Montana,1996,879000,161,3.9,27.1,29.7,100.3
Nebraska,1996,1652000,434.7,2.9,27.1,63.7,341.1
Nevada,1996,1603000,811.3,13.7,53.4,307.6,436.6
New Hampshire,1996,1162000,118.2,1.7,34.8,27.3,54.4
New Jersey,1996,7988000,531.5,4.2,24.7,235.8,266.7
New York,1996,18185000,727,7.4,23,340,356.7
North Carolina,1996,7323000,588.1,8.5,31.3,163.9,384.5
North Dakota,1996,644000,84,2.2,24.1,11,46.7
Ohio,1996,11173000,428.7,4.8,41.3,164.1,218.4
Oklahoma,1996,3301000,597.1,6.8,46.8,106.8,436.9
Oregon,1996,3204000,463.1,4,39.7,122.2,297.2
Pennsylvania,1996,12056000,480.3,5.7,25.2,189,260.5
Rhode Island,1996,990000,347.2,2.5,29,83.2,232.4
South Carolina,1996,3699000,996.9,9,49.2,172,766.7
South Dakota,1996,732000,177.2,1.2,41,18.9,116.1
Tennessee,1996,5320000,774,9.5,46.5,223.7,494.3
Texas,1996,19128000,644.4,7.7,43.8,171.5,421.4
Utah,1996,2000000,331.9,3.2,41.8,68.9,218.1
Vermont,1996,589000,121.2,1.9,27,15.4,76.9
Virginia,1996,6675000,341.3,7.5,26.7,122.6,184.5
Washington,1996,5533000,431.2,4.6,51.1,119,256.4
West Virginia,1996,1826000,210.1,3.8,19.6,40.4,146.3
Wisconsin,1996,5160000,252.7,4,21,96.6,131.1
Wyoming,1996,481000,249.7,3.3,29.1,20.4,196.9
Alaska,1997,609000,701.1,8.9,66.2,106.4,519.7
New Mexico,1997,1730000,853.3,7.7,50.4,171.4,623.7
Alabama,1997,4319000,564.5,9.9,32.3,160.5,361.8
Arizona,1997,4555000,623.7,8.2,32.8,165.7,417.1
Arkansas,1997,2523000,526.9,9.9,43.5,111.5,361.9
California,1997,32268000,798.3,8,31.6,252.5,506.2
Colorado,1997,3893000,363.2,4,43.1,83.3,232.8
Connecticut,1997,3270000,390.9,3.8,22.6,152.9,211.6
Delaware,1997,732000,785.9,3,58.5,243.6,480.9
District of Columbia,1997,529000,2024.2,56.9,41.2,850.9,1075.2
Florida,1997,14654000,1023.6,6.9,51.9,276.1,688.7
Georgia,1997,7486000,606.6,7.5,31.1,206.7,361.3
Hawaii,1997,1187000,277.9,4,31.3,118.2,124.5
Idaho,1997,1210000,256.8,3.2,28.9,19.6,205
Illinois,1997,11896000,861.4,9.2,37.1,278.4,536.7
Indiana,1997,5864000,514.6,7.3,32.9,132.4,342.1
Iowa,1997,2852000,310,1.8,20.3,55.9,232
Kansas,1997,2595000,429.7,5.8,45.4,97.7,280.8
Kentucky,1997,3908000,316.9,5.8,33.4,90.7,187
Louisiana,1997,4352000,855.9,15.7,41.3,239.1,559.7
Maine,1997,1242000,120.8,2,20.5,20.7,77.6
Maryland,1997,5094000,846.6,9.9,35.6,336.8,464.4
Massachusetts,1997,6118000,644.2,1.9,26.9,109.1,506.2
Michigan,1997,9774000,590,7.8,51.9,152.8,377.5
Minnesota,1997,4686000,337.8,2.8,52.2,114.7,168.1
Mississippi,1997,2731000,469,13.1,39,137,279.9
Missouri,1997,5402000,577.4,7.9,28.2,156.1,385.2
Montana,1997,879000,132.1,4.8,19.5,20.4,87.5
